區域,季別,成交日,路段,編號,社區棟別,門牌,型態,交易標的,樓層,格局,坪數,總價萬,單價萬每坪,屋齡,完工年月,車位,備註
高鐵特區,113S4,2024-09-14,高鐵九路,RPRNMLLKIIJGFBJ77DA,高鐵九路６１巷２３號,新竹縣竹北市高鐵九路６１巷２３號六樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,六層/十二層,4房2廳2衛,69.5,3973,57.2,0.8,2023-12-01,坡道平面,
高鐵特區,113S4,2024-09-15,十興路二段,RPOOMLOJJIJGFBJ87DA,十興路二段１４２號,新竹縣竹北市十興路二段１４２號十三樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,十三層/十四層,2房1廳1衛,32.1,2040,63.5,5.0,2019-09-29,坡道平面,
高鐵特區,114S1,2024-09-16,光明六路東二段,RPVOMLLKKHKGFBJ48DA,光明六路東二段６３３號,新竹縣竹北市光明六路東二段６３３號八樓之二,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,八層/十四層,2房2廳1衛,33.4,1235,37.0,0.8,2023-12-15,坡道平面,親友、員工、共有人或其他特殊關係間之交易；
高鐵特區,115S1,2024-09-16,六家一路二段,RPUPMLSJKIKGFBJ56DA,六家一路二段２８號,新竹縣竹北市六家一路二段２８號三樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,三層/十層,3房2廳2衛,57.4,3600,78.7,-1.0,2025-09-17,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,115S1,2024-09-16,六家一路二段,RPOQMLSJKIKGFBJ68DA,六家一路二段３０號,新竹縣竹北市六家一路二段３０號五樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,五層/十層,3房2廳2衛,56.4,3736,83.2,-1.0,2025-09-17,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,115S1,2024-09-16,六家一路二段,RPQQMLSJKIKGFBJ88DA,六家一路二段３０號,新竹縣竹北市六家一路二段３０號六樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,六層/十層,3房2廳2衛,56.4,3837,85.7,-1.0,2025-09-17,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,115S1,2024-09-16,六家一路二段,RPRPMLOLKIKGFBJ68DA,六家一路二段２８號,新竹縣竹北市六家一路二段２８號五樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,五層/十層,3房2廳2衛,57.4,3810,83.2,-1.0,2025-09-17,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-09-18,六家五路二段,RPSNMLMLIIJGFBJ08DA,六家五路二段１７３號,新竹縣竹北市六家五路二段１７３號二樓,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,二層/十四層,3房2廳2衛,66.0,3916,74.1,2.3,2022-05-17,坡道平面,
高鐵特區,115S1,2024-09-18,六家一路二段,RPQPMLOLKIKGFBJ58DA,六家一路二段２８號,新竹縣竹北市六家一路二段２８號九樓,華廈(10層含以下有電梯),房地(土地+建物)+車位,九層/十層,3房2廳2衛,72.4,4292,88.5,-1.0,2025-09-17,坡道平面,預售屋、或土地及建物分件登記案件；
高鐵特區,114S1,2024-09-20,莊敬北路,RPUNMLRKKHKGFBJ88DA,莊敬北路２１６號,新竹縣竹北市莊敬北路２１６號二十二樓之二,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,二十二層/二十九層,4房2廳2衛,63.8,3980,68.3,4.6,2020-02-21,坡道平面,
